order_month,revenue
2023-01,56373285.56
2023-02,61494243.72
2023-03,59872088.97
2023-04,59082850.8
2023-05,58915576.73
2023-06,65188031.97
2023-07,57346346.25
2023-08,58199368.56
2023-09,63748878.38
2023-10,59720635.53
2023-11,58656650.94
2023-12,60982189.61
2024-01,63100929.78
2024-02,57456307.78
2024-03,55885839.45
2024-04,60000582.68
2024-05,53984499.28
2024-06,61608706.96
2024-07,62113128.37
2024-08,61910914.32
2024-09,60675430.26
2024-10,63758471.31
2024-11,59132372.44
2024-12,61375101.82
2025-01,61390266.05
2025-02,61930264.11
2025-03,60472447.16
2025-04,62225504.04
2025-05,62054222.84
2025-06,60075838.1
2025-07,61691339.45
2025-08,60169756.95
2025-09,63700017.96
2025-10,60646890.1
2025-11,59171580.09
2025-12,60399808.67
